gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3073682446,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C2-D082-34AB-E053-3014A8C07257_,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.1469,55.82176,5000,,,,,,2014-01-01T00:00:00,1,1,2014,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,Non renseigné (Non renseigné),,,2021-04-15T16:05:44.983Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073647857,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C1-A56C-34A9-E053-3014A8C073B0_,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.07384,55.22368,5000,,,,,,2017-01-01T00:00:00,1,1,2017,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"Nicet J.B., Pinault M.,Wickel J., Bigot L.,C. Bourmaud,Mulochau T., Zubia M., Conand C., Poupin,M. Schleyer,Benon P., G. Malfait (Non renseigné)",,,2021-04-15T16:05:46.644Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073619149,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C1-423E-34AD-E053-3014A8C0738C_,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.41586,46.21592,5000,,,,,,2015-01-01T00:00:00,1,1,2015,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"PARETO, ARVAM (Non renseigné)",,,2021-04-15T16:05:43.423Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073614935,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C8-C5D2-34B0-E053-3014A8C073A0,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.86056,45.26811,5000,,,,,,2000-01-01T00:00:00,1,1,2000,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,GIS Lag MAY (Non renseigné),,,2021-04-15T16:05:42.140Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073590687,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C9-5210-5045-E053-0514A8C038C7,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.17362,55.28577,5000,,,,,,2017-01-01T00:00:00,1,1,2017,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"|RNMR, IRD, université de La Réunion (Non renseigné)",,,2021-04-15T16:05:44.695Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073587861,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C8-5997-09FB-E053-5514A8C02F89,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.64125,45.13368,5000,,,,,,2014-01-01T00:00:00,1,1,2014,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"PARETO, ARVAM (Non renseigné)",,,2021-04-15T16:05:42.634Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073570938,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C8-C473-5047-E053-0514A8C03800,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.372,55.54547,5000,,,,,,2013-01-01T00:00:00,1,1,2013,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,Non renseigné (Non renseigné),,,2021-04-15T16:05:44.036Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073561499,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C8-53BC-34AD-E053-3014A8C0738C,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.11095,55.24858,5000,,,,,,1998-01-01T00:00:00,1,1,1998,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"Bigot L., Durville P., Tessier E. (Non renseigné)",,,2021-04-15T16:05:43.495Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073559382,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C7-9E6F-5040-E053-0514A8C0275F,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.12857,55.80428,5000,,,,,,2014-01-01T00:00:00,1,1,2014,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,Non renseigné (Non renseigné),,,2021-04-15T16:05:42.374Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073534665,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C6-8775-09FB-E053-5514A8C02F89,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.89315,44.96104,5000,,,,,,2014-01-01T00:00:00,1,1,2014,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"PARETO, ARVAM (Non renseigné)",,,2021-04-15T16:05:40.829Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
