"","UTC","degree_Celsius"
"876054",2020-01-01 08:00:35,13.6726221463
"876055",2020-01-01 08:05:37,13.6802292556
"876056",2020-01-01 08:10:35,13.6743126827
"876057",2020-01-01 08:15:35,13.6692409574
"876058",2020-01-01 08:20:35,13.6557146538
"876059",2020-01-01 08:25:39,13.6185045416
"876060",2020-01-01 08:30:36,13.6320376608
"876061",2020-01-01 08:35:35,13.6379576207
"876062",2020-01-01 08:40:36,13.6523326909
"876063",2020-01-01 08:45:38,13.6565601204
"876064",2020-01-01 08:50:36,13.6523326909
"876065",2020-01-01 08:55:35,13.6540236917
"876066",2020-01-01 09:01:09,13.6607873079
"876067",2020-01-01 09:05:39,13.6540236917
"876068",2020-01-01 09:10:36,13.668395636
"876069",2020-01-01 09:15:36,13.6726221463
"876070",2020-01-01 09:20:36,13.6853002268
"876071",2020-01-01 09:25:38,13.6869904731
"876072",2020-01-01 09:30:42,13.599892452
"876073",2020-01-01 09:35:35,13.481341793
"876074",2020-01-01 09:40:36,13.6354205531
"876075",2020-01-01 09:45:38,13.6117370518
"876076",2020-01-01 09:50:36,13.5931232561
"876077",2020-01-01 09:55:40,13.4584565232
"876078",2020-01-01 10:00:34,13.553341689
"876079",2020-01-01 10:05:38,13.6091990833
"876080",2020-01-01 10:10:36,13.6066610275
"876081",2020-01-01 10:15:35,13.6142749332
"876082",2020-01-01 10:20:36,13.6218880539
"876083",2020-01-01 10:25:38,13.6278088274
"876084",2020-01-01 10:30:37,13.6210421904
"876085",2020-01-01 10:35:36,13.6134289824
"876086",2020-01-01 10:40:36,13.6176586393
"876087",2020-01-01 10:45:38,13.6235797519
"876088",2020-01-01 10:50:36,13.6388032905
"876089",2020-01-01 10:55:36,13.6616327164
"876090",2020-01-01 11:00:35,13.6878355818
"876091",2020-01-01 11:05:38,13.7300786978
"876092",2020-01-01 11:10:35,13.7858026703
"876093",2020-01-01 11:15:36,13.8634085201
"876094",2020-01-01 11:20:36,13.9931321216
"876095",2020-01-01 11:25:39,14.1377501981
"876096",2020-01-01 11:30:37,14.2510613728
"876097",2020-01-01 11:35:36,13.5550349585
"876098",2020-01-01 11:40:35,13.3956974953
"876099",2020-01-01 11:45:38,13.5203151657
"876100",2020-01-01 11:50:36,13.5008310532
"876101",2020-01-01 11:55:36,13.468628631
"876102",2020-01-01 12:00:36,13.5016782955
"876103",2020-01-01 12:05:38,13.4881212502
"876104",2020-01-01 12:10:35,13.4762567912
"876105",2020-01-01 12:15:36,13.4838841625
"876106",2020-01-01 12:20:55,13.4991365393
"876107",2020-01-01 12:25:39,13.503372751
"876108",2020-01-01 12:30:38,13.4949000843
"876109",2020-01-01 12:35:36,13.5016782955
"876110",2020-01-01 12:40:35,13.4660857355
"876111",2020-01-01 12:45:38,13.4669333771
"876112",2020-01-01 12:50:36,13.481341793
"876113",2020-01-01 12:55:36,13.448283012
"876114",2020-01-01 13:00:36,13.4457394149
"876115",2020-01-01 13:05:39,13.4270836875
"876116",2020-01-01 13:10:36,13.5109973191
"876117",2020-01-01 13:15:36,13.5457214954
"876118",2020-01-01 13:20:36,13.5973540763
"876119",2020-01-01 13:25:38,13.5931232561
"876120",2020-01-01 13:30:37,13.6244255864
"876121",2020-01-01 13:35:36,13.6717768636
"876122",2020-01-01 13:40:36,13.3880609948
"876123",2020-01-01 13:45:38,13.4465872903
"876124",2020-01-01 13:50:36,13.468628631
"876125",2020-01-01 13:55:36,13.455913277
"876126",2020-01-01 14:00:34,13.4584565232
"876127",2020-01-01 14:05:39,13.4821892592
"876128",2020-01-01 14:10:36,13.4982892677
"876129",2020-01-01 14:15:36,13.4864264443
"876130",2020-01-01 14:20:36,13.5016782955
"876131",2020-01-01 14:25:39,13.5160799268
"876132",2020-01-01 14:30:37,13.5186210993
"876133",2020-01-01 14:35:36,13.4830367157
"876134",2020-01-01 14:40:36,13.4160576293
"876135",2020-01-01 14:45:38,13.4355641488
"876136",2020-01-01 14:50:35,13.4626950719
"876137",2020-01-01 14:55:36,13.4609996817
"876138",2020-01-01 15:00:36,13.4982892677
"876139",2020-01-01 15:05:37,13.4864264443
"876140",2020-01-01 15:10:36,13.4660857355
"876141",2020-01-01 15:15:36,13.4923580945
"876142",2020-01-01 15:20:36,13.5008310532
"876143",2020-01-01 15:25:39,13.5059143613
"876144",2020-01-01 15:30:42,13.5050671676
"876145",2020-01-01 15:35:36,13.5160799268
"876146",2020-01-01 15:40:36,13.533019424
"876147",2020-01-01 15:45:38,13.5304787473
"876148",2020-01-01 15:50:36,13.4016364487
"876149",2020-01-01 15:55:36,13.4075749236
"876150",2020-01-01 16:00:35,13.453369943
"876151",2020-01-01 16:05:39,13.4279317776
"876152",2020-01-01 16:10:36,13.4041815679
"876153",2020-01-01 16:15:36,13.4576087842
"876154",2020-01-01 16:20:36,13.3490176286
"876155",2020-01-01 16:25:39,13.4024848315
"876156",2020-01-01 16:30:37,13.4398040137
"876157",2020-01-01 16:35:35,13.4414998913
"876158",2020-01-01 16:40:37,13.4609996817
"876159",2020-01-01 16:45:38,13.4847315995
"876160",2020-01-01 16:50:35,13.4830367157
"876161",2020-01-01 16:55:36,13.5126915606
"876162",2020-01-01 17:00:36,13.5491083453
"876163",2020-01-01 17:05:39,13.5601145339
"876164",2020-01-01 17:10:35,13.553341689
"876165",2020-01-01 17:15:35,13.5397941342
"876166",2020-01-01 17:20:36,13.5474149398
"876167",2020-01-01 17:25:38,13.5550349585
"876168",2020-01-01 17:30:37,13.5863534394
"876169",2020-01-01 17:35:36,13.6058149895
"876170",2020-01-01 17:40:36,13.6354205531
"876171",2020-01-01 17:45:38,13.6675503049
"876172",2020-01-01 17:50:35,13.7081152911
"876173",2020-01-01 17:55:35,13.5008310532
"876174",2020-01-01 18:00:35,13.448283012
"876175",2020-01-01 18:05:38,13.5643472463
"876176",2020-01-01 18:10:36,13.5719655172
"876177",2020-01-01 18:15:36,13.5761975501
"876178",2020-01-01 18:20:36,13.5753511629
"876179",2020-01-01 18:25:38,13.5770439276
"876180",2020-01-01 18:30:38,13.5406409292
"876181",2020-01-01 18:35:36,13.5338662968
"876182",2020-01-01 18:40:35,13.561807648
"876183",2020-01-01 18:45:38,13.570272636
"876184",2020-01-01 18:50:35,13.6193504342
"876185",2020-01-01 18:55:36,13.5880459517
"876186",2020-01-01 19:00:36,13.5812756694
