UTC,ML,PST
2/1/20 8:01,13.31250185,2/1/20 0:00
2/1/20 8:16,13.06831518,2/1/20 0:15
2/1/20 8:31,13.2147543,2/1/20 0:30
2/1/20 8:46,13.23346387,2/1/20 0:45
2/1/20 9:01,13.20029364,2/1/20 1:00
2/1/20 9:16,13.12965077,2/1/20 1:15
2/1/20 9:31,13.09643368,2/1/20 1:30
2/1/20 9:46,13.02910175,2/1/20 1:45
2/1/20 10:01,13.0538257,2/1/20 2:00
2/1/20 10:16,13.10750771,2/1/20 2:15
2/1/20 10:31,13.10750771,2/1/20 2:30
2/1/20 10:46,13.08365388,2/1/20 2:45
2/1/20 11:01,13.09302595,2/1/20 3:00
2/1/20 11:16,13.09813748,2/1/20 3:15
2/1/20 11:31,12.99498608,2/1/20 3:30
2/1/20 11:46,12.94378286,2/1/20 3:45
2/1/20 12:01,12.81048707,2/1/20 4:00
2/1/20 12:16,12.8720383,2/1/20 4:15
2/1/20 12:31,12.59207653,2/1/20 4:30
2/1/20 12:46,12.43837072,2/1/20 4:45
2/1/20 13:01,12.38505641,2/1/20 5:00
2/1/20 13:16,12.28692521,2/1/20 5:15
2/1/20 13:31,12.37387266,2/1/20 5:30
2/1/20 13:46,12.41945719,2/1/20 5:45
2/1/20 14:01,12.26021759,2/1/20 6:00
2/1/20 14:16,12.22832795,2/1/20 6:15
2/1/20 14:31,12.30328957,2/1/20 6:30
2/1/20 14:46,12.46157609,2/1/20 6:45
2/1/20 15:01,12.49508197,2/1/20 7:00
2/1/20 15:16,12.70778674,2/1/20 7:15
2/1/20 15:31,12.8720383,2/1/20 7:30
2/1/20 15:46,12.98645469,2/1/20 7:45
2/1/20 16:01,12.94805116,2/1/20 8:00
2/1/20 16:16,12.9728024,2/1/20 8:15
2/1/20 16:31,13.02910175,2/1/20 8:30
2/1/20 16:46,13.05638287,2/1/20 8:45
2/1/20 17:01,13.07598493,2/1/20 9:00
2/1/20 17:16,13.08280181,2/1/20 9:15
2/1/20 17:31,13.09132202,2/1/20 9:30
2/1/20 17:46,13.15689461,2/1/20 9:45
2/1/20 18:01,13.17817185,2/1/20 10:00
2/1/20 18:16,13.29126342,2/1/20 10:15
2/1/20 18:31,13.29890996,2/1/20 10:30
2/1/20 18:46,13.28871439,2/1/20 10:45
2/1/20 19:01,13.30145863,2/1/20 11:00
2/1/20 19:16,13.33713076,2/1/20 11:15
2/1/20 19:31,13.42793178,2/1/20 11:30
2/1/20 19:46,13.41775405,2/1/20 11:45
2/1/20 20:01,13.41011984,2/1/20 12:00
2/1/20 20:16,13.34307443,2/1/20 12:15
2/1/20 20:31,13.34392349,2/1/20 12:30
2/1/20 20:46,13.27766761,2/1/20 12:45
2/1/20 21:01,13.19178605,2/1/20 13:00
2/1/20 21:16,13.22325924,2/1/20 13:15
2/1/20 21:31,13.31929685,2/1/20 13:30
2/1/20 21:46,13.36429793,2/1/20 13:45
2/1/20 22:01,13.27936722,2/1/20 14:00
2/1/20 22:16,13.18838273,2/1/20 14:15
2/1/20 22:31,13.40587827,2/1/20 14:30
2/1/20 22:46,13.2530188,2/1/20 14:45
2/1/20 23:01,13.24536749,2/1/20 15:00
2/1/20 23:16,13.25641913,2/1/20 15:15
2/1/20 23:31,13.36514674,2/1/20 15:30
2/1/20 23:46,13.43217208,2/1/20 15:45
2/2/20 0:01,13.41775405,2/1/20 16:00
2/2/20 0:16,13.39739439,2/1/20 16:15
2/2/20 0:31,13.37193689,2/1/20 16:30
2/2/20 0:46,13.35496035,2/1/20 16:45
2/2/20 1:01,13.34477254,2/1/20 17:00
2/2/20 1:16,13.30825465,2/1/20 17:15
2/2/20 1:31,13.2674691,2/1/20 17:30
2/2/20 1:46,12.96256152,2/1/20 17:45
2/2/20 2:01,12.72919451,2/1/20 18:00
2/2/20 2:16,12.4847741,2/1/20 18:15
2/2/20 2:31,12.06780633,2/1/20 18:30
2/2/20 2:46,12.05052487,2/1/20 18:45
2/2/20 3:01,11.96578642,2/1/20 19:00
2/2/20 3:16,11.90606442,2/1/20 19:15
2/2/20 3:31,11.89567297,2/1/20 19:30
2/2/20 3:46,11.77779944,2/1/20 19:45
2/2/20 4:01,11.72313142,2/1/20 20:00
2/2/20 4:16,11.5484388,2/1/20 20:15
2/2/20 4:31,11.40210364,2/1/20 20:30
2/2/20 4:46,11.56236009,2/1/20 20:45
2/2/20 5:01,11.82375817,2/1/20 21:00
2/2/20 5:16,12.56462209,2/1/20 21:15
2/2/20 5:31,12.8207492,2/1/20 21:30
2/2/20 5:46,12.95402636,2/1/20 21:45
2/2/20 6:01,13.06746294,2/1/20 22:00
2/2/20 6:16,13.00778131,2/1/20 22:15
2/2/20 6:31,13.04359611,2/1/20 22:30
2/2/20 6:46,13.35580927,2/1/20 22:45
2/2/20 7:01,13.23261354,2/1/20 23:00
2/2/20 7:16,13.25556906,2/1/20 23:15
2/2/20 7:31,13.29466198,2/1/20 23:30
2/2/20 7:46,13.29975953,2/1/20 23:45
2/2/20 8:01,13.30995356,2/2/20 0:00
2/2/20 8:16,13.2734184,2/2/20 0:15
2/2/20 8:31,13.28361608,2/2/20 0:30
2/2/20 8:46,13.24281688,2/2/20 0:45
2/2/20 9:01,13.14838199,2/2/20 1:00
2/2/20 9:16,13.14327395,2/2/20 1:15
2/2/20 9:31,12.90450286,2/2/20 1:30
2/2/20 9:46,12.880583,2/2/20 1:45
2/2/20 10:01,12.94378286,2/2/20 2:00
2/2/20 10:16,12.92414549,2/2/20 2:15
2/2/20 10:31,12.94634387,2/2/20 2:30
2/2/20 10:46,12.8840006,2/2/20 2:45
2/2/20 11:01,12.94975841,2/2/20 3:00
2/2/20 11:16,12.56977058,2/2/20 3:15
2/2/20 11:31,12.45813872,2/2/20 3:30
2/2/20 11:46,12.534582,2/2/20 3:45
2/2/20 12:01,12.44782565,2/2/20 4:00
2/2/20 12:16,12.29812227,2/2/20 4:15
2/2/20 12:31,12.23263818,2/2/20 4:30
2/2/20 12:46,12.16191831,2/2/20 4:45
2/2/20 13:01,12.03928973,2/2/20 5:00
2/2/20 13:16,12.09372083,2/2/20 5:15
2/2/20 13:31,12.33945041,2/2/20 5:30
