HST: Hawaii Standard Time (UTC -10:00),Water Temperature (degC),Salinity (PSU)
2020-07-28 16:00:00,27.21,25.75
2020-07-28 16:15:00,27.22,25.72
2020-07-28 16:30:00,27.23,25.52
2020-07-28 16:45:00,27.21,25.53
2020-07-28 17:00:00,27.16,25.41
2020-07-28 17:15:00,27.04,25.33
2020-07-28 17:30:00,27.06,25.43
2020-07-28 17:45:00,27.03,26.02
2020-07-28 18:00:00,26.92,25.02
2020-07-28 18:15:00,26.98,25.22
2020-07-28 18:30:00,26.72,24.02
2020-07-28 18:45:00,26.75,24.19
2020-07-28 19:00:00,26.83,24.78
2020-07-28 19:15:00,26.66,24.24
2020-07-28 19:30:00,26.55,23.67
2020-07-28 19:45:00,26.41,23.18
2020-07-28 20:00:00,26.41,22.79
2020-07-28 20:15:00,26.38,22.72
2020-07-28 20:30:00,26.57,24.09
2020-07-28 20:45:00,26.52,23.55
2020-07-28 21:00:00,26.51,23.67
2020-07-28 21:15:00,26.57,24.34
2020-07-28 21:30:00,26.57,24.18
2020-07-28 21:45:00,26.63,25.32
2020-07-28 22:00:00,26.55,24.53
2020-07-28 22:15:00,26.75,26.48
2020-07-28 22:30:00,26.77,27.13
2020-07-28 22:45:00,26.70,26.85
2020-07-28 23:00:00,26.67,27.10
2020-07-28 23:15:00,26.75,28.19
2020-07-28 23:30:00,26.73,28.05
2020-07-28 23:45:00,26.72,27.95
2020-07-29 00:00:00,26.80,28.51
2020-07-29 00:15:00,26.74,28.16
2020-07-29 00:30:00,26.78,28.65
2020-07-29 00:45:00,26.80,28.73
2020-07-29 01:00:00,26.80,28.79
2020-07-29 01:15:00,26.77,28.75
2020-07-29 01:30:00,26.80,29.00
2020-07-29 01:45:00,26.79,28.91
2020-07-29 02:00:00,26.65,28.73
2020-07-29 02:15:00,26.56,28.36
2020-07-29 02:30:00,26.51,28.25
2020-07-29 02:45:00,26.04,27.38
2020-07-29 03:00:00,26.16,27.54
2020-07-29 03:15:00,26.50,27.99
2020-07-29 03:30:00,26.30,27.47
2020-07-29 03:45:00,26.41,27.64
2020-07-29 04:00:00,26.80,28.30
2020-07-29 04:15:00,26.75,27.48
2020-07-29 04:30:00,26.68,26.90
2020-07-29 04:45:00,26.77,27.48
2020-07-29 05:00:00,26.23,25.70
2020-07-29 05:15:00,26.32,26.29
2020-07-29 05:30:00,26.56,27.24
2020-07-29 05:45:00,26.63,27.26
2020-07-29 06:00:00,26.54,27.14
2020-07-29 06:15:00,26.39,26.77
2020-07-29 06:30:00,26.55,27.00
2020-07-29 06:45:00,26.58,26.91
2020-07-29 07:00:00,26.35,26.07
2020-07-29 07:15:00,26.18,25.86
2020-07-29 07:30:00,26.60,27.48
2020-07-29 07:45:00,26.50,26.75
2020-07-29 08:00:00,26.58,27.50
2020-07-29 08:15:00,26.46,27.15
2020-07-29 08:30:00,26.15,26.52
2020-07-29 08:45:00,26.02,26.15
2020-07-29 09:00:00,25.80,25.63
2020-07-29 09:15:00,25.72,25.23
2020-07-29 09:30:00,25.62,24.55
2020-07-29 09:45:00,25.80,25.72
2020-07-29 10:00:00,25.65,24.52
2020-07-29 10:15:00,25.80,25.16
2020-07-29 10:30:00,25.79,25.16
2020-07-29 10:45:00,25.96,25.72
2020-07-29 11:00:00,25.86,25.01
2020-07-29 11:15:00,25.80,24.04
2020-07-29 11:30:00,25.84,23.93
2020-07-29 11:45:00,26.00,23.85
2020-07-29 12:00:00,26.03,24.03
2020-07-29 12:15:00,26.14,24.00
2020-07-29 12:30:00,26.22,24.42
2020-07-29 12:45:00,26.33,24.03
2020-07-29 13:00:00,26.50,23.57
2020-07-29 13:15:00,26.61,24.09
2020-07-29 13:30:00,26.63,23.94
2020-07-29 13:45:00,26.70,24.59
2020-07-29 14:00:00,26.95,25.88
2020-07-29 14:15:00,26.91,24.78
2020-07-29 14:30:00,27.02,25.64
2020-07-29 14:45:00,26.94,24.11
2020-07-29 15:00:00,26.84,23.12
2020-07-29 15:15:00,26.85,23.12
2020-07-29 15:30:00,26.88,23.17
2020-07-29 15:45:00,26.93,23.24
2020-07-29 16:00:00,27.00,23.36
2020-07-29 16:15:00,27.02,23.30
2020-07-29 16:30:00,27.03,23.34
2020-07-29 16:45:00,27.03,23.39
2020-07-29 17:00:00,27.06,23.46
2020-07-29 17:15:00,27.09,23.52
2020-07-29 17:30:00,27.09,23.65
2020-07-29 17:45:00,27.13,23.80
2020-07-29 18:00:00,27.07,23.61
2020-07-29 18:15:00,27.04,23.52
2020-07-29 18:30:00,27.05,23.51
2020-07-29 18:45:00,27.02,23.49
2020-07-29 19:00:00,27.01,23.52
2020-07-29 19:15:00,27.04,23.45
2020-07-29 19:30:00,27.06,23.51
2020-07-29 19:45:00,26.82,22.30
2020-07-29 20:00:00,26.64,21.70
2020-07-29 20:15:00,26.73,22.21
2020-07-29 20:30:00,26.77,22.84
2020-07-29 20:45:00,26.70,21.62
2020-07-29 21:00:00,26.83,22.45
2020-07-29 21:15:00,26.82,22.54
2020-07-29 21:30:00,26.78,22.41
2020-07-29 21:45:00,26.79,22.78
2020-07-29 22:00:00,26.93,24.33
2020-07-29 22:15:00,27.16,26.58
2020-07-29 22:30:00,27.26,27.45
2020-07-29 22:45:00,27.24,27.34
2020-07-29 23:00:00,27.20,27.42
2020-07-29 23:15:00,27.15,26.74
2020-07-29 23:30:00,27.09,26.33
2020-07-29 23:45:00,27.04,27.62
2020-07-30 00:00:00,27.03,26.69
2020-07-30 00:15:00,26.97,27.53
2020-07-30 00:30:00,26.92,27.74
2020-07-30 00:45:00,26.90,28.08
2020-07-30 01:00:00,26.91,27.95
2020-07-30 01:15:00,26.96,27.79
2020-07-30 01:30:00,26.91,28.05
2020-07-30 01:45:00,26.99,27.78
2020-07-30 02:00:00,26.99,27.84
2020-07-30 02:15:00,27.12,27.23
2020-07-30 02:30:00,27.11,27.81
2020-07-30 02:45:00,27.15,27.39
2020-07-30 03:00:00,27.06,27.30
2020-07-30 03:15:00,26.78,27.35
2020-07-30 03:30:00,26.65,27.09
2020-07-30 03:45:00,26.68,26.97
2020-07-30 04:00:00,26.86,27.57
2020-07-30 04:15:00,26.78,26.98
2020-07-30 04:30:00,26.67,26.04
2020-07-30 04:45:00,26.80,26.28
2020-07-30 05:00:00,26.89,26.98
2020-07-30 05:15:00,26.94,26.78
2020-07-30 05:30:00,26.93,26.60
2020-07-30 05:45:00,27.01,27.12
2020-07-30 06:00:00,27.05,27.35
2020-07-30 06:15:00,26.87,26.30
2020-07-30 06:30:00,26.99,27.35
2020-07-30 06:45:00,27.00,27.41
