"Clade","Type","Gene","Isolate","Redundancy","Potential_Pseudogene_Ref","Species","Methodology","Genbank","Genbank_link","Host_Phylum","Host_Class","Host_Order","Host_Family","Host_Genus","Host_Species","Host_Sci_Name","AphiaID","Environment","Ocean","Country","StateRegion","SubRegion","Locale","Latitude","Longitude","Coordinate_Precision","Min_Depth","Max_Depth","Start_Year_Collect","End_Year_Collect","Ref","Reference","Ref_link"
"A","A1","ITS2","N_A","N_A","NO_Hunter_2007_J_Phycology_43_120","same_as_Symbiodinium microadriaticum sub. microadriaticum","cloning","same_as_AF333505","http://www.ncbi.nlm.nih.gov/nuccore/AF333505","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","cytherea","Acropora cytherea",207095,"in hospite","Pacific","United States","Hawaiian Islands","French Frigate Shoals","N_A",23.8496833,-166.2974333,100,15,20,2006,2006,"Stat_2008_Biol_Invasions_10_579","Stat M & Gates RD (2008) Vectored introductions of marine endosymbiotic dinoflagellates into Hawaii. Biological Invasions 10, 579-583.","http://www.springerlink.com/content/vwj30gt72407051w/"
"A","A1","ITS2","N_A","N_A","NO_Hunter_2007_J_Phycology_43_120","same_as_Symbiodinium microadriaticum sub. microadriaticum","cloning","same_as_AF333505","http://www.ncbi.nlm.nih.gov/nuccore/AF333505","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Pocillopora","eydouxi","Pocillopora eydouxi",206958,"in hospite","Pacific","United States","Central Pacific","Johnston Atoll","JA-HIMB3",16.7429333,-169.5378167,100,3,7,2006,2006,"Stat_2009_MEPS_386_83","Stat M, Pochon X, Cowie ROM, Gates RD (2009) Specificity in communities of Symbiodinium in corals from Johnston Atoll. Marine Ecology Progress Series 386, 83-96.","http://www.int-res.com/abstracts/meps/v386/p83-96/"
"A","A1","ITS2","N_A","N_A","NO_Hunter_2007_J_Phycology_43_120","same_as_Symbiodinium microadriaticum sub. microadriaticum","cloning","same_as_AF333505","http://www.ncbi.nlm.nih.gov/nuccore/AF333505","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Pocillopora","meandrina","Pocillopora meandrina",206964,"in hospite","Pacific","United States","Central Pacific","Johnston Atoll","JA-HIMB3",16.7429333,-169.5378167,100,3,7,2006,2006,"Stat_2009_MEPS_386_83","Stat M, Pochon X, Cowie ROM, Gates RD (2009) Specificity in communities of Symbiodinium in corals from Johnston Atoll. Marine Ecology Progress Series 386, 83-96.","http://www.int-res.com/abstracts/meps/v386/p83-96/"
"A","A1.1","ITS2","N_A","A13","N_A","Symbiodinium cariborum (S. microadriaticum sub. condylactis)","DGGE","AF333504","http://www.ncbi.nlm.nih.gov/nuccore/AF333504","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Condylactis","gigantea ","Condylactis gigantea",283419,"culture","Caribbean","Jamaica","N_A","N_A","N_A",18.13265,-77.2958889,125000,"N_A","N_A","N_A","N_A","LaJeunesse_2001_J_Phycology_37_866","LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.","http://www3.interscience.wiley.com/journal/118994400/abstract"
"A","A1.1","ITS2","N_A","A13","N_A","same_as_Symbiodinium cariborum (S. microadriaticum sub. condylactis)","DGGE","same_as_AF333504","http://www.ncbi.nlm.nih.gov/nuccore/AF333504","Cnidaria","Scyphozoa","Rhizostomeae","Cassiopeidae","Cassiopea","frondosa","Cassiopea frondosa",287166,"culture","Caribbean","Jamaica","N_A","N_A","N_A",18.13265,-77.2958889,125000,"N_A","N_A","N_A","N_A","LaJeunesse_2001_J_Phycology_37_866","LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.","http://www3.interscience.wiley.com/journal/118994400/abstract"
"A","A1.2","ITS2","N_A","N_A","NO_Stat_2009_MEPS_386_83","N_A","cloning","AB207210","http://www.ncbi.nlm.nih.gov/nuccore/AB207210","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Pocillopora","eydouxi","Pocillopora eydouxi",206958,"in hospite","Pacific","United States","Central Pacific","Johnston Atoll","JA-HIMB3",16.7429333,-169.5378167,100,3,7,2006,2006,"Stat_2009_MEPS_386_83","Stat M, Pochon X, Cowie ROM, Gates RD (2009) Specificity in communities of Symbiodinium in corals from Johnston Atoll. Marine Ecology Progress Series 386, 83-96.","http://www.int-res.com/abstracts/meps/v386/p83-96/"
"A","A10","ITS2","N_A","N_A","N_A","N_A","DGGE","EU792882","http://www.ncbi.nlm.nih.gov/nuccore/EU792882","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Lithophyton","arboreum","Lithophyton arboreum","N_A","in hospite","Red Sea","Israel","Gulf of Aqaba","N_A","N_A",24.400405,36.307343,400000,7,7,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A12","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792883","http://www.ncbi.nlm.nih.gov/nuccore/EU792883","Cnidaria","Anthozoa","Zoanthidea","Zoanthidae","Zoanthus","pacificus","Zoanthus pacificus",288837,"in hospite","Pacific","Mexico","Baja California","La Paz","N_A",24.090809,-110.173139,50000,0,0.5,2004,2006,"LaJeunesse_2008_Limnol_Oceanograph_53_719","LaJeunesse TC, Reyes Bonilla H, Warner ME, Wills M, Schmidt GW,  Fitt WK (2008) Specificity and stability in high latitude eastern Pacific coral-algal symbioses. Limnology and Oceanography 53, 719-727.","http://www.aslo.org/lo/toc/vol_53/issue_2/index.html"
"A","A13","ITS2","N_A","same_as_A1.1","N_A","same_as_Symbiodinium cariborum (S. microadriaticum sub. condylactis)","DGGE","same_as_AF333504","http://www.ncbi.nlm.nih.gov/nuccore/AF333504","Cnidaria","Anthozoa","Scleractinia","Faviidae","Montastraea","annularis","Montastraea annularis",207479,"in hospite","Caribbean","Barbados","N_A","N_A","N_A",13.065258,-59.39125,3000,0,5,2005,2007,"LaJeunesse_2009_Proc_Royal_Soc_B_276_4139","LaJeunesse TC, Smith RT, Finney J, Oxenford H (2009) Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral ""bleaching"" event. Proceedings of the Royal Society of London B 276, 4139-4148.","http://rspb.royalsocietypublishing.org/content/276/1676/4139.full"
"A","A13","ITS2","N_A","same_as_A1.1","N_A","same_as_Symbiodinium cariborum (S. microadriaticum sub. condylactis)","DGGE","same_as_AF333504","http://www.ncbi.nlm.nih.gov/nuccore/AF333504","Cnidaria","Anthozoa","Scleractinia","Faviidae","Montastraea","annularis","Montastraea annularis",207479,"in hospite","Caribbean","Barbados","N_A","N_A","N_A",13.065258,-59.39125,3000,15,15,2005,2007,"LaJeunesse_2009_Proc_Royal_Soc_B_276_4139","LaJeunesse TC, Smith RT, Finney J, Oxenford H (2009) Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral ""bleaching"" event. Proceedings of the Royal Society of London B 276, 4139-4148.","http://rspb.royalsocietypublishing.org/content/276/1676/4139.full"
