Coral species,Transmission
Pocillopora damicornis,Vertical
Pocillopora eleganms,Vertical
Pocillopora eydouxi,Vertical
Pocillopora ligulata,
Pocillopora meandrina,Vertical
Pocillopora molokensis,
Pocillopora verrucosa,Vertical
Podabacia crustacea,
Polyphyllia talpina,
Porites annae,Vertical
Porites astreoides,Vertical
Porites brighmai,
Porites colonensis,
Porites compressa,Vertical
Porites cylindrica,Vertical
Porites divaricata,
Porites furcata,
Porites lichen,
Porites lobata,Vertical
Porites lutea,Vertical
Porites lutea/evermanni,Vertical
Porites mayeri,
Porites nigrescens,
Porites panamensis,
Porites porites,
Porites profundus,
Porites rus,
Porites silimaniana,
Porites stephensoni,Vertical
Porites vaughani,
Psammocora brighami,
Psammocora cartigua,
Psammocora contigua,
Psammocora digitata,
Psammocora haimeana,
Psammocora profundacella,
Psammocora stellata,Horizontal
Psammocora superficialis,
Sandalolitha robusta,
Scolymia australis,
Seriatopora caliendrum,Vertical
Seriatopora hystrix,Vertical
Siderastrea radians,Vertical
Siderastrea siderea,Horizontal
Stephanocoenia intersepta,Horizontal
Stylocoeniella amrata,
Stylophora pistillata,Vertical
Symphyllia agaricia,
Symphyllia radians,Horizontal
Symphyllia recta,Horizontal
Symphyllia wilsoni,
Turbinaria frondens,
Turbinaria heronensis,
Turbinaria mesenterina,Horizontal
Turbinaria peltata,
Turbinaria reniformis,Horizontal
Turbinaria stellulata,
