Plot Title: MaunaluaBay_SiteN,,,,,,,,,
#,"Date Time, GMT-10:00","Temp, ¡C (LGR S/N: 10568564, SEN S/N: 10568564)","Intensity, Lux (LGR S/N: 10568564, SEN S/N: 10568564)",Coupler Attached (LGR S/N: 10568564),Coupler Detached (LGR S/N: 10568564),Stopped (LGR S/N: 10568564),End Of File (LGR S/N: 10568564),,
1,4/15/15 11:00,24.931,2583.4,,,,,,
2,4/15/15 11:30,25.028,4133.4,,,,,,
3,4/15/15 12:00,25.222,4133.4,,,,,,
4,4/15/15 12:30,25.319,5166.7,,,,,,
5,4/15/15 13:00,25.416,3788.9,,,,,,
6,4/15/15 13:30,25.61,14466.8,,,,,,
7,4/15/15 14:00,25.805,17222.3,,,,,,
8,4/15/15 14:30,26,16533.4,,,,,,
9,4/15/15 15:00,25.902,18600.1,,,,,,
10,4/15/15 15:30,26,19289,,,,,,
11,4/15/15 16:00,25.902,18600.1,,,,,,
12,4/15/15 16:30,25.902,13089,,,,,,
13,4/15/15 17:00,25.902,11022.3,,,,,,
14,4/15/15 17:30,25.708,6200,,,,,,
15,4/15/15 18:00,25.61,2411.1,,,,,,
16,4/15/15 18:30,25.513,527.4,,,,,,
17,4/15/15 19:00,25.513,0,,,,,,
18,4/15/15 19:30,25.416,0,,,,,,
19,4/15/15 20:00,25.222,0,,,,,,
20,4/15/15 20:30,25.125,0,,,,,,
21,4/15/15 21:00,25.028,0,,,,,,
22,4/15/15 21:30,24.931,0,,,,,,
23,4/15/15 22:00,24.835,0,,,,,,
24,4/15/15 22:30,24.835,0,,,,,,
25,4/15/15 23:00,25.222,0,,,,,,
26,4/15/15 23:30,25.125,0,,,,,,
27,4/16/15 0:00,24.931,0,,,,,,
28,4/16/15 0:30,25.028,0,,,,,,
29,4/16/15 1:00,25.125,0,,,,,,
30,4/16/15 1:30,25.028,0,,,,,,
31,4/16/15 2:00,25.028,0,,,,,,
32,4/16/15 2:30,24.931,0,,,,,,
33,4/16/15 3:00,24.931,0,,,,,,
34,4/16/15 3:30,24.931,0,,,,,,
35,4/16/15 4:00,24.931,0,,,,,,
36,4/16/15 4:30,24.931,0,,,,,,
37,4/16/15 5:00,24.835,0,,,,,,
38,4/16/15 5:30,24.835,0,,,,,,
39,4/16/15 6:00,24.641,0,,,,,,
40,4/16/15 6:30,24.641,279.9,,,,,,
41,4/16/15 7:00,24.545,828.8,,,,,,
42,4/16/15 7:30,24.641,871.9,,,,,,
43,4/16/15 8:00,24.641,1980.6,,,,,,
44,4/16/15 8:30,24.738,2497.2,,,,,,
45,4/16/15 9:00,24.738,3100,,,,,,
46,4/16/15 9:30,24.835,4822.3,,,,,,
47,4/16/15 10:00,24.835,2411.1,,,,,,
48,4/16/15 10:30,24.931,5511.1,,,,,,
49,4/16/15 11:00,25.125,2152.8,,,,,,
50,4/16/15 11:30,25.222,6200,,,,,,
51,4/16/15 12:00,25.319,6544.5,,,,,,
52,4/16/15 12:30,25.416,9644.5,,,,,,
53,4/16/15 13:00,25.513,11022.3,,,,,,
54,4/16/15 13:30,25.708,13089,,,,,,
55,4/16/15 14:00,25.902,18600.1,,,,,,
56,4/16/15 14:30,26,17911.2,,,,,,
57,4/16/15 15:00,26.097,24800.2,,,,,,
58,4/16/15 15:30,26.097,20666.8,,,,,,
59,4/16/15 16:00,25.708,1894.5,,,,,,
60,4/16/15 16:30,25.708,1636.1,,,,,,
61,4/16/15 17:00,25.805,5511.1,,,,,,
62,4/16/15 17:30,25.805,4133.4,,,,,,
63,4/16/15 18:00,25.61,1722.2,,,,,,
64,4/16/15 18:30,25.513,645.8,,,,,,
65,4/16/15 19:00,25.416,0,,,,,,
